episode,training_return,training_steps,epsilon,eval_mean_return,eval_mean_steps,eval_success_rate
135,44.0,12,0.510849320360386,,,
136,15.0,17,0.5082950737585841,,,
137,-1.0,31,0.5057535983897912,,,
138,37.0,15,0.5032248303978422,,,
139,18.0,18,0.500708706245853,,,
140,32.0,14,0.4982051627146237,,,
141,45.0,15,0.49571413690105054,,,
142,30.0,18,0.4932355662165453,,,
143,30.0,20,0.4907693883854626,,,
144,33.0,19,0.4883155414435353,,,
145,45.0,15,0.4858739637363176,,,
146,40.0,12,0.483444593917636,,,
147,41.0,15,0.4810273709480478,,,
148,39.0,13,0.47862223409330756,,,
149,45.0,15,0.47622912292284103,,,
150,24.0,10,0.4738479773082268,50.0,10.0,1.0
151,43.0,13,0.47147873742168567,,,
152,44.0,16,0.46912134373457726,,,
153,25.0,31,0.46677573701590436,,,
154,41.0,15,0.46444185833082485,,,
155,25.0,15,0.46211964903917074,,,
156,35.0,15,0.4598090507939749,,,
157,39.0,17,0.457510005540005,,,
158,35.0,17,0.45522245551230495,,,
159,16.0,28,0.4529463432347434,,,
160,30.0,18,0.4506816115185697,,,
161,32.0,24,0.4484282034609769,,,
162,20.0,20,0.446186062443672,,,
163,19.0,21,0.4439551321314536,,,
164,45.0,15,0.4417353564707963,,,
165,40.0,16,0.43952667968844233,,,
166,31.0,17,0.43732904629000013,,,
167,3.0,27,0.4351424010585501,,,
168,9.0,23,0.43296668905325736,,,
169,50.0,10,0.43080185560799106,,,
170,45.0,11,0.4286478463299511,,,
171,-18.0,22,0.42650460709830135,,,
172,32.0,24,0.42437208406280985,,,
173,30.0,18,0.4222502236424958,,,
174,43.0,13,0.42013897252428334,,,
175,43.0,13,0.4180382776616619,,,
176,33.0,23,0.4159480862733536,,,
177,39.0,17,0.41386834584198684,,,
178,46.0,14,0.4117990041127769,,,
179,16.0,30,0.40974000909221303,,,
180,41.0,19,0.40769130904675194,,,
181,38.0,18,0.40565285250151817,,,
182,34.0,16,0.4036245882390106,,,
183,37.0,19,0.4016064652978155,,,
184,45.0,15,0.3995984329713264,,,
185,41.0,15,0.3976004408064698,,,
186,39.0,17,0.39561243860243744,,,
187,39.0,21,0.3936343764094253,,,
188,50.0,10,0.39166620452737816,,,
189,43.0,13,0.3897078735047413,,,
190,25.0,17,0.3877593341372176,,,
191,44.0,12,0.3858205374665315,,,
192,24.0,22,0.38389143477919885,,,
193,42.0,14,0.3819719776053028,,,
194,40.0,12,0.3800621177172763,,,
195,19.0,17,0.37816180712868996,,,
196,46.0,14,0.37627099809304654,,,
197,40.0,20,0.3743896431025813,,,
198,45.0,15,0.37251769488706843,,,
199,24.0,18,0.3706551064126331,,,
200,41.0,10,0.36880183088056995,50.0,10.0,1.0
201,43.0,13,0.3669578217261671,,,
202,42.0,14,0.36512303261753626,,,
203,33.0,15,0.3632974174544486,,,
204,41.0,15,0.3614809303671764,,,
205,49.0,11,0.3596735257153405,,,
206,43.0,13,0.3578751580867638,,,
207,43.0,17,0.35608578229633,,,
208,28.0,14,0.3543053533848483,,,
209,38.0,14,0.35253382661792404,,,
210,49.0,11,0.3507711574848344,,,
211,49.0,11,0.34901730169741024,,,
212,49.0,11,0.3472722151889232,,,
213,50.0,10,0.3455358541129786,,,
214,48.0,12,0.3438081748424137,,,
215,12.0,18,0.3420891339682016,,,
216,13.0,19,0.3403786882983606,,,
217,48.0,12,0.3386767948568688,,,
218,44.0,12,0.33698341088258443,,,
219,31.0,25,0.3352984938281715,,,
220,27.0,19,0.33362200135903064,,,
221,43.0,13,0.33195389135223546,,,
222,36.0,16,0.3302941218954743,,,
223,17.0,21,0.32864265128599696,,,
224,48.0,12,0.326999438029567,,,
225,36.0,20,0.3253644408394192,,,
226,45.0,15,0.3237376186352221,,,
227,50.0,10,0.322118930542046,,,
228,46.0,14,0.32050833588933575,,,
229,46.0,14,0.31890579420988907,,,
230,34.0,16,0.3173112652388396,,,
231,48.0,12,0.3157247089126454,,,
232,50.0,10,0.3141460853680822,,,
233,30.0,18,0.3125753549412418,,,
234,46.0,14,0.31101247816653554,,,
235,47.0,13,0.30945741577570285,,,
236,26.0,16,0.3079101286968243,,,
237,41.0,15,0.3063705780533402,,,
238,42.0,14,0.30483872516307353,,,
239,45.0,11,0.3033145315372582,,,
240,40.0,16,0.3017979588795719,,,
241,42.0,14,0.30028896908517405,,,
242,38.0,14,0.2987875242397482,,,
243,33.0,13,0.29729358661854943,,,
244,47.0,13,0.29580711868545667,,,
245,43.0,13,0.2943280830920294,,,
246,49.0,11,0.29285644267656924,,,
247,42.0,18,0.2913921604631864,,,
248,49.0,11,0.28993519966087045,,,
249,48.0,12,0.2884855236625661,,,
250,49.0,10,0.28704309604425327,50.0,10.0,1.0
251,35.0,13,0.285607880564032,,,
252,44.0,12,0.28417984116121187,,,
253,50.0,10,0.2827589419554058,,,
254,50.0,10,0.28134514724562876,,,
255,40.0,16,0.2799384215094006,,,
256,11.0,17,0.27853872940185365,,,
257,46.0,14,0.27714603575484437,,,
258,48.0,12,0.2757603055760701,,,
259,24.0,20,0.2743815040481898,,,
260,46.0,14,0.2730095965279488,,,
261,44.0,12,0.27164454854530906,,,
262,33.0,23,0.2702863258025825,,,
263,39.0,17,0.2689348941735696,,,
264,49.0,11,0.26759021970270175,,,
265,49.0,11,0.2662522686041882,,,
266,38.0,18,0.2649210072611673,,,
267,48.0,12,0.26359640222486147,,,
268,23.0,13,0.26227842021373715,,,
269,38.0,12,0.2609670281126685,,,
270,46.0,14,0.25966219297210513,,,
271,50.0,10,0.2583638820072446,,,
272,44.0,16,0.2570720625972084,,,
273,44.0,16,0.25578670228422234,,,
274,29.0,19,0.25450776877280124,,,
275,43.0,17,0.2532352299289372,,,
276,45.0,15,0.2519690537792925,,,
277,50.0,10,0.2507092085103961,,,
278,43.0,13,0.2494556624678441,,,
279,50.0,10,0.24820838415550486,,,
280,49.0,11,0.24696734223472733,,,
281,13.0,17,0.2457325055235537,,,
282,34.0,16,0.24450384299593592,,,
283,41.0,15,0.24328132378095624,,,
284,37.0,13,0.24206491716205145,,,
285,40.0,16,0.2408545925762412,,,
286,43.0,13,0.23965031961336,,,
287,42.0,18,0.2384520680152932,,,
288,50.0,10,0.23725980767521673,,,
289,41.0,15,0.23607350863684065,,,
290,31.0,19,0.23489314109365644,,,
291,42.0,18,0.23371867538818816,,,
292,40.0,12,0.23255008201124722,,,
293,43.0,17,0.231387331601191,,,
294,48.0,12,0.23023039494318503,,,
295,50.0,10,0.2290792429684691,,,
296,50.0,10,0.22793384675362674,,,
297,48.0,12,0.22679417751985861,,,
298,47.0,13,0.22566020663225933,,,
299,48.0,12,0.22453190559909803,,,
300,50.0,10,0.22340924607110255,50.0,10.0,1.0
301,44.0,12,0.22229219984074702,,,
302,48.0,12,0.2211807388415433,,,
303,49.0,11,0.22007483514733558,,,
304,46.0,14,0.2189744609715989,,,
305,49.0,11,0.2178795886667409,,,
306,43.0,13,0.2167901907234072,,,
307,37.0,13,0.21570623976979014,,,
308,45.0,11,0.21462770857094118,,,
309,32.0,14,0.21355457002808648,,,
